participant,task,ROI,eye_metric,observed_r,observed_lag_s,null_r_median,null_r_95,p_val,significant
38,EF,SSC,fixation_duration_sum,0.5303247682479227,2.4,0.4332375433105802,0.5734707674489421,0.19402985074626866,False
38,EF,TC,fixation_duration_sum,0.4460320474512226,-3.0,0.5137428473926946,0.538364174796719,0.8756218905472637,False
38,EF,Broca,saccade_count,0.2502145521688407,-11.75,0.22987577694836803,0.24124560338776424,0.004975124378109453,True
38,EF,DLPFC,saccade_count,0.28256726025281265,0.4,0.18268297268723152,0.29247508654581733,0.3482587064676617,False
38,EF,FEF,saccade_count,0.21348347974818307,0.1,0.21212806154461855,0.24156653906171188,0.46766169154228854,False
38,EF,FPA,saccade_count,0.18539897962701726,-1.1,0.17381916237153466,0.2858870310028648,0.39800995024875624,False
38,EF,OC,saccade_count,0.249637294680418,1.15,0.2117621462412735,0.265026840936598,0.3781094527363184,False
38,EF,PMC,saccade_count,0.2604219845761634,-1.0,0.2545130669284837,0.2894088921552926,0.472636815920398,False
38,EF,PreM,saccade_count,0.21454488953973777,-1.55,0.2033356375072441,0.24788491795399112,0.48756218905472637,False
38,EF,SSC,saccade_count,0.22812806571547858,-1.1,0.21494196597922266,0.2590982525714353,0.4427860696517413,False
38,EF,TC,saccade_count,0.23331413666820125,-5.9,0.2037519365810463,0.22112452672577715,0.004975124378109453,True
38,EF,Broca,saccade_speed,0.29824950453778815,-11.75,0.2740263541645919,0.2889489936439183,0.004975124378109453,True
38,EF,DLPFC,saccade_speed,0.31583714590418743,0.4,0.23937791935814606,0.3288294336619992,0.31343283582089554,False
38,EF,FEF,saccade_speed,0.23181987325180298,-9.6,0.24455397504074938,0.2659733917422328,0.6417910447761194,False
38,EF,FPA,saccade_speed,0.24405751565357198,-1.1,0.2136759228235488,0.31730042499808864,0.20398009950248755,False
38,EF,OC,saccade_speed,0.2955582984467271,1.35,0.26473201096426013,0.3136255636098587,0.3383084577114428,False
38,EF,PMC,saccade_speed,0.28516004645322124,-1.7,0.24587580992382171,0.310509889448646,0.373134328358209,False
38,EF,PreM,saccade_speed,0.2409343506416992,-2.05,0.22657536875056158,0.2736693827174256,0.4427860696517413,False
38,EF,SSC,saccade_speed,0.22976921845032433,-1.1,0.23410383435261298,0.2696195720240897,0.5970149253731343,False
38,EF,TC,saccade_speed,0.2655975494667582,-3.05,0.2273476756372515,0.2593100404243655,0.004975124378109453,True
